CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 19:04:15.576,740985,-0.02864,0.00468,0.76061,1.55567,1.02271,0,0.00000,1.55013,1.62896,1.59956,0.52785,0.01942
2024-06-22 19:04:15.580,740986,-0.02843,0.00454,0.76057,1.55574,1.02246,0,-0.00000,1.54985,1.62878,1.59960,0.52782,0.01945
2024-06-22 19:04:15.588,740987,-0.02800,0.00456,0.76059,1.55565,1.02295,0,-0.00000,1.55003,1.62890,1.60015,0.52749,0.01958
2024-06-22 19:04:15.597,740988,-0.02842,0.00475,0.76063,1.55561,1.02308,0,0.00000,1.55031,1.62905,1.59988,0.52765,0.01944
2024-06-22 19:04:15.605,740989,-0.02871,0.00503,0.76066,1.55548,1.02309,0,-0.00000,1.55045,1.62913,1.59965,0.52780,0.01937
2024-06-22 19:04:15.614,740990,-0.02919,0.00501,0.76049,1.55560,1.02252,0,-0.00000,1.54993,1.62912,1.59917,0.52786,0.01918
2024-06-22 19:04:15.623,740991,-0.02941,0.00543,0.76064,1.55546,1.02265,0,-0.00000,1.55013,1.62883,1.59866,0.52794,0.01896
2024-06-22 19:04:15.631,740992,-0.02973,0.00520,0.76067,1.55569,1.02259,0,-0.00000,1.55024,1.62887,1.59837,0.52811,0.01883
2024-06-22 19:04:15.638,740993,-0.02877,0.00459,0.76065,1.55571,1.02252,0,0.00000,1.55012,1.62880,1.59927,0.52804,0.01945
2024-06-22 19:04:15.648,740994,-0.02965,0.00579,0.76070,1.55525,1.02278,0,-0.00000,1.55038,1.62891,1.59848,0.52807,0.01893
2024-06-22 19:04:15.656,740995,-0.02917,0.00517,0.76063,1.55538,1.02268,0,-0.00000,1.55031,1.62908,1.59915,0.52808,0.01937
2024-06-22 19:04:15.664,740996,-0.02898,0.00478,0.76049,1.55567,1.02265,0,0.00000,1.55002,1.62924,1.59950,0.52782,0.01931
2024-06-22 19:04:15.672,740997,-0.02903,0.00484,0.76061,1.55558,1.02264,0,0.00000,1.55014,1.62898,1.59919,0.52795,0.01938
2024-06-22 19:04:15.681,740998,-0.02912,0.00542,0.76079,1.55522,1.02313,0,0.00000,1.55070,1.62898,1.59908,0.52802,0.01936
2024-06-22 19:04:15.689,740999,-0.02904,0.00493,0.76071,1.55555,1.02277,0,0.00000,1.55035,1.62884,1.59903,0.52803,0.01934
2024-06-22 19:04:15.697,741000,-0.02910,0.00497,0.76067,1.55554,1.02281,0,-0.00000,1.55024,1.62886,1.59899,0.52788,0.01931
2024-06-22 19:04:15.706,741001,-0.02858,0.00489,0.76054,1.55557,1.02277,0,-0.00000,1.54980,1.62883,1.59950,0.52746,0.01935
2024-06-22 19:04:15.714,741002,-0.02904,0.00528,0.76049,1.55534,1.02281,0,-0.00000,1.54999,1.62920,1.59939,0.52763,0.01932
2024-06-22 19:04:15.723,741003,-0.02924,0.00509,0.76052,1.55550,1.02255,0,0.00000,1.55000,1.62911,1.59911,0.52790,0.01926
2024-06-22 19:04:15.731,741004,-0.02941,0.00537,0.76068,1.55551,1.02272,0,-0.00000,1.55028,1.62887,1.59870,0.52802,0.01895
2024-06-22 19:04:15.739,741005,-0.02930,0.00508,0.76067,1.55554,1.02291,0,0.00000,1.55045,1.62909,1.59902,0.52799,0.01919
2024-06-22 19:04:15.747,741006,-0.02909,0.00512,0.76074,1.55556,1.02281,0,0.00000,1.55038,1.62880,1.59895,0.52802,0.01912
2024-06-22 19:04:15.755,741007,-0.02972,0.00563,0.76067,1.55550,1.02264,0,-0.00000,1.55020,1.62882,1.59833,0.52803,0.01869
2024-06-22 19:04:15.764,741008,-0.02930,0.00532,0.76054,1.55545,1.02225,0,0.00000,1.54985,1.62889,1.59883,0.52805,0.01910
2024-06-22 19:04:15.772,741009,-0.02920,0.00510,0.76037,1.55555,1.02207,0,-0.00000,1.54946,1.62903,1.59908,0.52784,0.01917
2024-06-22 19:04:15.781,741010,-0.02901,0.00499,0.76057,1.55560,1.02283,0,-0.00000,1.55010,1.62904,1.59927,0.52771,0.01921
2024-06-22 19:04:15.789,741011,-0.02871,0.00517,0.76061,1.55553,1.02292,0,-0.00000,1.55007,1.62889,1.59942,0.52759,0.01913
2024-06-22 19:04:15.798,741012,-0.02933,0.00529,0.76059,1.55556,1.02274,0,0.00000,1.54999,1.62888,1.59878,0.52770,0.01895
2024-06-22 19:04:15.806,741013,-0.02947,0.00536,0.76056,1.55561,1.02278,0,-0.00000,1.54988,1.62886,1.59862,0.52756,0.01880
2024-06-22 19:04:15.814,741014,-0.02872,0.00509,0.76052,1.55575,1.02256,0,0.00000,1.54967,1.62878,1.59931,0.52754,0.01887
2024-06-22 19:04:15.822,741015,-0.02940,0.00464,0.76034,1.55602,1.02204,0,0.00000,1.54940,1.62906,1.59891,0.52781,0.01889
2024-06-22 19:04:15.831,741016,-0.02980,0.00553,0.76066,1.55541,1.02276,0,0.00000,1.55040,1.62906,1.59849,0.52810,0.01895
2024-06-22 19:04:15.839,741017,-0.03010,0.00561,0.76060,1.55547,1.02291,0,0.00000,1.55033,1.62919,1.59831,0.52789,0.01875
2024-06-22 19:04:15.848,741018,-0.03019,0.00556,0.76062,1.55558,1.02278,0,0.00000,1.55023,1.62902,1.59805,0.52793,0.01864
2024-06-22 19:04:15.856,741019,-0.03035,0.00493,0.76039,1.55609,1.02179,0,-0.00000,1.54927,1.62878,1.59767,0.52797,0.01847
2024-06-22 19:04:15.864,741020,-0.03034,0.00569,0.76057,1.55550,1.02236,0,0.00000,1.54993,1.62886,1.59775,0.52806,0.01864
2024-06-22 19:04:15.872,741021,-0.03000,0.00525,0.76062,1.55560,1.02235,0,0.00000,1.55009,1.62886,1.59810,0.52821,0.01892
2024-06-22 19:04:15.881,741022,-0.03017,0.00508,0.76049,1.55568,1.02231,0,-0.00000,1.54994,1.62913,1.59819,0.52812,0.01897
2024-06-22 19:04:15.889,741023,-0.03004,0.00489,0.76040,1.55576,1.02234,0,0.00000,1.54973,1.62922,1.59840,0.52786,0.01904
2024-06-22 19:04:15.898,741024,-0.02959,0.00505,0.76056,1.55561,1.02289,0,0.00000,1.54998,1.62896,1.59859,0.52755,0.01912
2024-06-22 19:04:15.906,741025,-0.03033,0.00519,0.76054,1.55560,1.02282,0,0.00000,1.54994,1.62897,1.59785,0.52761,0.01897
2024-06-22 19:04:15.914,741026,-0.03006,0.00484,0.76052,1.55571,1.02251,0,-0.00000,1.54978,1.62887,1.59803,0.52775,0.01916
2024-06-22 19:04:15.923,741027,-0.03017,0.00479,0.76063,1.55570,1.02323,0,-0.00000,1.55038,1.62915,1.59817,0.52763,0.01923
2024-06-22 19:04:15.932,741028,-0.03052,0.00501,0.76054,1.55560,1.02265,0,0.00000,1.55006,1.62911,1.59779,0.52790,0.01916
2024-06-22 19:04:15.940,741029,-0.03074,0.00519,0.76067,1.55554,1.02277,0,-0.00000,1.55038,1.62901,1.59747,0.52810,0.01907
2024-06-22 19:04:15.947,741030,-0.03094,0.00528,0.76066,1.55557,1.02267,0,-0.00000,1.55021,1.62887,1.59713,0.52805,0.01892
2024-06-22 19:04:15.956,741031,-0.03108,0.00532,0.76071,1.55546,1.02296,0,0.00000,1.55046,1.62898,1.59708,0.52801,0.01906
2024-06-22 19:04:15.964,741032,-0.03128,0.00539,0.76067,1.55538,1.02290,0,-0.00000,1.55040,1.62903,1.59693,0.52801,0.01911
2024-06-22 19:04:15.973,741033,-0.03125,0.00601,0.76112,1.55461,1.02322,0,0.00000,1.55157,1.62881,1.59673,0.52887,0.01971
2024-06-22 19:04:15.980,741034,-0.03139,0.00649,0.76105,1.55442,1.02374,0,-0.00000,1.55160,1.62906,1.59682,0.52838,0.01952
2024-06-22 19:04:15.989,741035,-0.03110,0.00559,0.76076,1.55510,1.02314,0,-0.00000,1.55064,1.62899,1.59707,0.52801,0.01936
2024-06-22 19:04:15.998,741036,-0.03062,0.00536,0.76072,1.55533,1.02324,0,-0.00000,1.55041,1.62889,1.59746,0.52766,0.01922
2024-06-22 19:04:16.006,741037,-0.03152,0.00504,0.76062,1.55559,1.02294,0,0.00000,1.55014,1.62893,1.59658,0.52772,0.01912
2024-06-22 19:04:16.014,741038,-0.03151,0.00491,0.76056,1.55566,1.02268,0,-0.00000,1.54987,1.62885,1.59652,0.52772,0.01914
2024-06-22 19:04:16.022,741039,-0.03170,0.00452,0.76038,1.55584,1.02230,0,-0.00000,1.54953,1.62906,1.59655,0.52775,0.01927
2024-06-22 19:04:16.031,741040,-0.03114,0.00466,0.76041,1.55571,1.02248,0,-0.00000,1.54965,1.62912,1.59717,0.52768,0.01933
2024-06-22 19:04:16.039,741041,-0.03137,0.00482,0.76044,1.55559,1.02246,0,-0.00000,1.54971,1.62906,1.59688,0.52777,0.01935
2024-06-22 19:04:16.048,741042,-0.03189,0.00519,0.76048,1.55548,1.02259,0,-0.00000,1.54977,1.62899,1.59627,0.52772,0.01914
2024-06-22 19:04:16.056,741043,-0.03226,0.00550,0.76055,1.55541,1.02253,0,0.00000,1.54989,1.62889,1.59581,0.52791,0.01894
2024-06-22 19:04:16.065,741044,-0.03239,0.00540,0.76062,1.55550,1.02258,0,-0.00000,1.55007,1.62886,1.59564,0.52804,0.01889
2024-06-22 19:04:16.072,741045,-0.03275,0.00596,0.76081,1.55532,1.02294,0,-0.00000,1.55064,1.62884,1.59524,0.52827,0.01860
2024-06-22 19:04:16.081,741046,-0.03243,0.00543,0.76069,1.55549,1.02280,0,0.00000,1.55026,1.62882,1.59555,0.52802,0.01888
2024-06-22 19:04:16.090,741047,-0.03214,0.00501,0.76060,1.55557,1.02267,0,-0.00000,1.55002,1.62887,1.59590,0.52789,0.01918
2024-06-22 19:04:16.098,741048,-0.03178,0.00448,0.76029,1.55573,1.02196,0,0.00000,1.54914,1.62895,1.59636,0.52771,0.01947
2024-06-22 19:04:16.106,741049,-0.03165,0.00445,0.76058,1.55571,1.02317,0,-0.00000,1.55012,1.62903,1.59654,0.52747,0.01954
2024-06-22 19:04:16.114,741050,-0.03209,0.00465,0.76060,1.55566,1.02316,0,0.00000,1.55012,1.62899,1.59606,0.52750,0.01940
2024-06-22 19:04:16.122,741051,-0.03218,0.00456,0.76062,1.55571,1.02319,0,0.00000,1.55018,1.62897,1.59594,0.52753,0.01941
2024-06-22 19:04:16.131,741052,-0.03176,0.00424,0.76061,1.55579,1.02324,0,0.00000,1.55015,1.62898,1.59637,0.52743,0.01961
2024-06-22 19:04:16.139,741053,-0.03215,0.00401,0.76039,1.55592,1.02263,0,-0.00000,1.54961,1.62913,1.59614,0.52751,0.01965
2024-06-22 19:04:16.148,741054,-0.03240,0.00440,0.76039,1.55565,1.02237,0,0.00000,1.54950,1.62902,1.59579,0.52768,0.01968
2024-06-22 19:04:16.156,741055,-0.03283,0.00450,0.76058,1.55565,1.02271,0,0.00000,1.54995,1.62885,1.59516,0.52780,0.01956
2024-06-22 19:04:16.164,741056,-0.03384,0.00547,0.76090,1.55537,1.02337,0,-0.00000,1.55089,1.62879,1.59406,0.52811,0.01899
2024-06-22 19:04:16.173,741057,-0.03268,0.00435,0.76084,1.55550,1.02345,0,-0.00000,1.55076,1.62885,1.59528,0.52786,0.01995
2024-06-22 19:04:16.182,741058,-0.03292,0.00410,0.76061,1.55566,1.02267,0,-0.00000,1.55005,1.62885,1.59508,0.52794,0.01996
2024-06-22 19:04:16.189,741059,-0.03405,0.00487,0.76058,1.55550,1.02252,0,0.00000,1.54996,1.62888,1.59395,0.52804,0.01941
2024-06-22 19:04:16.198,741060,-0.03335,0.00426,0.76050,1.55551,1.02233,0,-0.00000,1.54979,1.62894,1.59474,0.52803,0.02002
2024-06-22 19:04:16.206,741061,-0.03331,0.00352,0.76026,1.55594,1.02197,0,0.00000,1.54921,1.62914,1.59498,0.52781,0.02010
2024-06-22 19:04:16.214,741062,-0.03324,0.00329,0.76022,1.55602,1.02206,0,-0.00000,1.54915,1.62920,1.59511,0.52766,0.02021
2024-06-22 19:04:16.223,741063,-0.03280,0.00351,0.76044,1.55589,1.02255,0,0.00000,1.54953,1.62888,1.59522,0.52753,0.02019
2024-06-22 19:04:16.231,741064,-0.03324,0.00388,0.76058,1.55561,1.02287,0,0.00000,1.54993,1.62883,1.59471,0.52764,0.02026
2024-06-22 19:04:16.239,741065,-0.03361,0.00393,0.76050,1.55556,1.02285,0,0.00000,1.54986,1.62903,1.59453,0.52759,0.02028
2024-06-22 19:04:16.247,741066,-0.03307,0.00406,0.76059,1.55553,1.02307,0,-0.00000,1.55004,1.62891,1.59496,0.52753,0.02020
2024-06-22 19:04:16.255,741067,-0.03389,0.00449,0.76068,1.55511,1.02329,0,-0.00000,1.55057,1.62918,1.59439,0.52788,0.02042
2024-06-22 19:04:16.264,741068,-0.03424,0.00514,0.76098,1.55458,1.02374,0,0.00000,1.55142,1.62908,1.59392,0.52829,0.02059
2024-06-22 19:04:16.272,741069,-0.03464,0.00480,0.76087,1.55480,1.02324,0,0.00000,1.55106,1.62909,1.59353,0.52844,0.02059
2024-06-22 19:04:16.281,741070,-0.03470,0.00432,0.76067,1.55543,1.02275,0,-0.00000,1.55023,1.62888,1.59327,0.52811,0.02007
2024-06-22 19:04:16.289,741071,-0.03448,0.00420,0.76065,1.55538,1.02276,0,0.00000,1.55016,1.62885,1.59347,0.52802,0.02028
2024-06-22 19:04:16.297,741072,-0.03456,0.00409,0.76062,1.55545,1.02274,0,0.00000,1.55010,1.62889,1.59343,0.52798,0.02027
2024-06-22 19:04:16.306,741073,-0.03444,0.00378,0.76058,1.55549,1.02278,0,0.00000,1.55025,1.62915,1.59380,0.52808,0.02054
2024-06-22 19:04:16.314,741074,-0.03429,0.00351,0.76051,1.55564,1.02273,0,-0.00000,1.55005,1.62920,1.59401,0.52793,0.02057
2024-06-22 19:04:16.323,741075,-0.03403,0.00331,0.76039,1.55574,1.02250,0,-0.00000,1.54961,1.62911,1.59419,0.52771,0.02062
2024-06-22 19:04:16.330,741076,-0.03404,0.00345,0.76055,1.55559,1.02318,0,-0.00000,1.55015,1.62916,1.59421,0.52756,0.02072
2024-06-22 19:04:16.339,741077,-0.03420,0.00345,0.76054,1.55562,1.02306,0,0.00000,1.54994,1.62898,1.59386,0.52748,0.02066
2024-06-22 19:04:16.348,741078,-0.03350,0.00357,0.76076,1.55537,1.02383,0,0.00000,1.55060,1.62894,1.59451,0.52735,0.02095
2024-06-22 19:04:16.356,741079,-0.03433,0.00332,0.76042,1.55560,1.02279,0,0.00000,1.54979,1.62920,1.59396,0.52761,0.02083
2024-06-22 19:04:16.365,741080,-0.03463,0.00365,0.76069,1.55541,1.02318,0,-0.00000,1.55048,1.62906,1.59351,0.52792,0.02079
2024-06-22 19:04:16.372,741081,-0.03500,0.00359,0.76066,1.55560,1.02280,0,-0.00000,1.55019,1.62884,1.59292,0.52802,0.02054
2024-06-22 19:04:16.381,741082,-0.03584,0.00411,0.76060,1.55561,1.02266,0,-0.00000,1.55007,1.62891,1.59214,0.52808,0.01999
2024-06-22 19:04:16.389,741083,-0.03590,0.00398,0.76057,1.55567,1.02243,0,-0.00000,1.54987,1.62880,1.59199,0.52810,0.02002
2024-06-22 19:04:16.397,741084,-0.03552,0.00368,0.76064,1.55556,1.02300,0,-0.00000,1.55024,1.62897,1.59252,0.52789,0.02052
2024-06-22 19:04:16.405,741085,-0.03534,0.00339,0.76065,1.55554,1.02299,0,-0.00000,1.55028,1.62898,1.59271,0.52793,0.02084
2024-06-22 19:04:16.414,741086,-0.03555,0.00356,0.76063,1.55540,1.02305,0,0.00000,1.55033,1.62908,1.59258,0.52793,0.02089
2024-06-22 19:04:16.423,741087,-0.03511,0.00306,0.76046,1.55555,1.02247,0,-0.00000,1.54968,1.62897,1.59295,0.52785,0.02117
2024-06-22 19:04:16.431,741088,-0.03507,0.00282,0.76038,1.55568,1.02262,0,-0.00000,1.54962,1.62917,1.59318,0.52764,0.02121
2024-06-22 19:04:16.440,741089,-0.03515,0.00301,0.76058,1.55560,1.02302,0,0.00000,1.54996,1.62885,1.59277,0.52757,0.02113
2024-06-22 19:04:16.448,741090,-0.03486,0.00288,0.76060,1.55558,1.02298,0,-0.00000,1.55001,1.62885,1.59306,0.52765,0.02129
2024-06-22 19:04:16.456,741091,-0.03470,0.00273,0.76061,1.55556,1.02314,0,0.00000,1.55005,1.62885,1.59321,0.52753,0.02149
2024-06-22 19:04:16.464,741092,-0.03533,0.00260,0.76041,1.55558,1.02268,0,0.00000,1.54973,1.62917,1.59290,0.52769,0.02158
2024-06-22 19:04:16.473,741093,-0.03544,0.00275,0.76041,1.55545,1.02236,0,-0.00000,1.54956,1.62899,1.59263,0.52785,0.02162
2024-06-22 19:04:16.481,741094,-0.03583,0.00285,0.76062,1.55550,1.02305,0,0.00000,1.55021,1.62901,1.59222,0.52782,0.02145
